"GEOID","NAME","vacancy_totalE","vacancy_totalM","for_rentE","for_rentM","rented_not_occE","rented_not_occM","for_saleE","for_saleM","sold_not_occE","sold_not_occM","seasonal_rec_occaisionalE","seasonal_rec_occaisionalM","migrant_workerE","migrant_workerM","other_vacantE","other_vacantM"
"11804","ZCTA5 11804",102,66,0,12,0,12,39,40,44,44,0,12,0,12,19,33
"11930","ZCTA5 11930",2043,145,21,23,0,12,18,21,0,12,1967,140,9,15,28,27
"11941","ZCTA5 11941",109,75,0,12,0,12,0,12,0,12,71,65,0,12,38,41
"11962","ZCTA5 11962",814,115,0,12,0,12,4,6,0,12,800,116,0,12,10,9
"11702","ZCTA5 11702",529,179,79,80,58,71,71,55,0,19,100,86,23,37,198,96
"11710","ZCTA5 11710",433,182,129,91,0,25,78,66,77,71,0,25,0,25,149,109
"11530","ZCTA5 11530",397,150,36,41,50,76,91,57,27,43,138,91,0,22,55,55
"11566","ZCTA5 11566",437,147,47,48,32,56,23,36,57,51,49,46,0,25,229,109
"11705","ZCTA5 11705",150,100,21,32,28,44,0,17,57,65,0,17,0,17,44,42
"11709","ZCTA5 11709",219,89,33,52,0,17,23,35,0,17,97,66,0,17,66,58
"11714","ZCTA5 11714",353,167,49,57,41,66,78,90,101,89,0,22,0,22,84,83
"11722","ZCTA5 11722",966,246,136,115,34,54,216,101,83,59,37,42,0,25,460,138
"11725","ZCTA5 11725",414,139,96,80,52,58,53,53,0,22,58,45,0,22,155,91
"11727","ZCTA5 11727",1078,315,272,142,112,107,97,73,49,75,46,53,22,34,480,240
"11730","ZCTA5 11730",302,171,37,60,0,19,60,72,0,19,0,19,0,19,205,144
"11746","ZCTA5 11746",2047,315,245,123,17,23,345,135,172,101,424,159,0,28,844,229
"11765","ZCTA5 11765",63,32,0,12,0,12,7,10,0,12,21,19,0,12,35,20
"11767","ZCTA5 11767",306,143,132,113,0,19,0,19,23,37,0,19,0,19,151,113
"11769","ZCTA5 11769",583,135,0,17,0,17,71,68,65,85,367,116,0,17,80,82
"11901","ZCTA5 11901",2201,417,135,118,34,53,275,164,67,74,1308,332,0,22,382,189
"11950","ZCTA5 11950",341,155,0,19,0,19,68,74,0,19,35,56,0,19,238,141
"11952","ZCTA5 11952",910,282,56,91,0,17,20,32,106,107,666,264,30,48,32,50
"11717","ZCTA5 11717",1036,225,197,94,23,38,84,61,111,74,69,61,16,26,536,183
"11718","ZCTA5 11718",19,23,0,12,0,12,5,7,0,12,0,12,0,12,14,23
"11733","ZCTA5 11733",657,186,90,95,0,19,71,65,79,94,138,69,0,19,279,133
"11742","ZCTA5 11742",208,92,74,64,54,59,20,27,0,19,0,19,0,19,60,65
"11753","ZCTA5 11753",210,150,0,19,0,19,21,31,15,17,155,141,0,19,19,30
"11756","ZCTA5 11756",261,135,23,37,0,25,86,62,38,58,0,25,0,25,114,99
"11763","ZCTA5 11763",448,190,0,22,33,54,85,80,74,78,26,44,0,22,230,153
"11766","ZCTA5 11766",147,110,0,19,0,19,29,24,66,101,21,23,0,19,31,33
"11771","ZCTA5 11771",587,212,105,101,0,17,91,79,66,90,224,155,0,17,101,74
"11778","ZCTA5 11778",515,190,112,106,0,19,71,89,0,19,218,138,0,19,114,92
"11222","ZCTA5 11222",1376,262,396,148,30,38,52,46,30,38,246,129,0,25,622,191
"11233","ZCTA5 11233",2430,278,753,197,34,52,97,64,1115,215,40,35,0,28,391,117
"11235","ZCTA5 11235",2792,400,330,157,186,102,469,167,249,119,544,173,0,28,1014,260
"11426","ZCTA5 11426",266,125,14,21,0,22,33,43,38,62,0,22,0,22,181,98
"11427","ZCTA5 11427",516,126,117,74,33,41,60,53,23,28,145,85,0,22,138,76
"11042","ZCTA5 11042",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
